Location
"Andheri,Western Suburbs"
Western Suburbs
"Mira-Bhayandar,Western Suburbs"
"Bandra,Western Suburbs"
"Borivali (West),Western Suburbs"
"Goregaon,Western Suburbs"
"Kandivali West,Western Suburbs"
"Kandivali East,Western Suburbs"
"Khar,Western Suburbs"
"Malad,Western Suburbs"
"Sanctacruz,Western Suburbs"
"Vasai,Western Suburbs"
"Vile Parle,Western Suburbs"
Eastern Suburbs
"Ghatkopar,Eastern Suburbs"
"Kurla,Eastern Suburbs"
"Mulund,Eastern Suburbs"
"Powai,Eastern Suburbs"
Harbour Suburbs
"Govandi,Harbour Suburbs"
"Trombay,Harbour Suburbs"
South Mumbai
"Antop Hill,South Mumbai"
"Byculla,South Mumbai"
"Colaba,South Mumbai"
"Dadar,South Mumbai"
"Fort,South Mumbai"
"Kalbadevi,South Mumbai"
"Kamathipura,South Mumbai"
"Tardeo,South Mumbai"
Mumbai
